# USDT/VES Historical Rate Dataset
# Source: usdt.com.ve
# License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
# Generated: 2026-08-28T17:01:23.683Z
# Citation: usdt.com.ve, "USDT/VES Historical Rate Dataset", retrieved 2026-08-28, https://www.usdt.com.ve/datos
# Columns: captured_at (ISO 8601 UTC), source (binance|bybit|bcv), buy_rate (Bs. per USD/USDT), sell_rate (Bs., null for BCV)
captured_at,source,buy_rate,sell_rate
2026-01-17T16:49:29.74155+00:00,binance,459.6,461
2026-01-17T16:49:29.74155+00:00,bybit,460,453.01
2026-01-17T16:49:40.285174+00:00,binance,459.6,461
2026-01-17T16:49:40.285174+00:00,bybit,460,453.01
2026-01-17T17:25:18.011506+00:00,bybit,459.4995,453
2026-01-17T17:25:18.011506+00:00,binance,457,457.25
2026-01-17T17:30:18.05967+00:00,binance,457,456.4
2026-01-17T17:30:18.05967+00:00,bybit,458.8495,453
2026-01-17T17:35:18.034501+00:00,bybit,458.35,453
2026-01-17T17:35:18.034501+00:00,binance,456.8995,456.05
2026-01-17T17:40:18.029781+00:00,bybit,457,453
2026-01-17T17:40:18.029781+00:00,binance,456.695,456.5
2026-01-17T17:45:18.111847+00:00,bybit,457.5,453
2026-01-17T17:45:18.111847+00:00,binance,456.3985,455.5
2026-01-17T17:50:18.030101+00:00,binance,455.999,455.25
2026-01-17T17:50:18.030101+00:00,bybit,457,451.05
2026-01-17T17:55:18.102103+00:00,binance,455.9,455.5275
2026-01-17T17:55:18.102103+00:00,bybit,457,451.05
2026-01-17T18:00:17.839281+00:00,bybit,456.95,451.55
2026-01-17T18:00:17.839281+00:00,binance,455.4995,455.415
2026-01-17T18:05:17.947424+00:00,bybit,456.825,451.55
2026-01-17T18:05:17.947424+00:00,binance,455.5,456.25
2026-01-17T18:10:18.110308+00:00,binance,455,455.5275
2026-01-17T18:10:18.110308+00:00,bybit,456.825,451.55
2026-01-17T18:15:17.958135+00:00,binance,455.2,455.5275
2026-01-17T18:15:17.958135+00:00,bybit,456.945,450.5325
2026-01-17T18:20:17.773476+00:00,binance,455,455.83
2026-01-17T18:20:17.773476+00:00,bybit,456.995,451.05
2026-01-17T18:25:18.354421+00:00,bybit,456.995,451.05
2026-01-17T18:25:18.354421+00:00,binance,454,456.2
2026-01-17T18:30:18.101286+00:00,bybit,456.995,451.05
2026-01-17T18:30:18.101286+00:00,binance,455,456.25
2026-01-17T18:35:18.654814+00:00,bybit,456.9945,451.05
2026-01-17T18:35:18.654814+00:00,binance,455,456.2
2026-01-17T18:40:17.987084+00:00,bybit,456.945,451.15
2026-01-17T18:40:17.987084+00:00,binance,455.2055,456.25
2026-01-17T18:45:18.019887+00:00,binance,455.195,456
2026-01-17T18:45:18.019887+00:00,bybit,456.945,451.15
2026-01-17T18:50:17.748411+00:00,bybit,455.15,451.0505
2026-01-17T18:50:17.748411+00:00,binance,455.75,456
2026-01-17T18:55:17.989772+00:00,binance,455.45,455.3
2026-01-17T18:55:17.989772+00:00,bybit,455.65,451.25
2026-01-17T19:00:18.193933+00:00,bybit,455.65,451.15
2026-01-17T19:00:18.193933+00:00,binance,455.864,455.35
2026-01-17T19:05:17.752552+00:00,bybit,455.15,451.15
2026-01-17T19:05:17.752552+00:00,binance,455.9,455.05
2026-01-17T19:07:37.139985+00:00,bybit,455.15,451.25
2026-01-17T19:07:37.139985+00:00,binance,455.85,455.05
2026-01-17T19:08:13.749616+00:00,binance,455.8145,455.05
2026-01-17T19:08:13.749616+00:00,bybit,455.65,451.25
2026-01-17T19:09:37.336381+00:00,bybit,455.65,451.31
2026-01-17T19:09:37.336381+00:00,binance,455.8845,454.8
2026-01-17T19:10:17.827496+00:00,binance,455.8705,454.8
2026-01-17T19:10:17.827496+00:00,bybit,455.65,451.66
2026-01-17T19:11:20.537888+00:00,bcv,344.51,
2026-01-17T19:11:20.537888+00:00,binance,455.839,454.8
2026-01-17T19:11:20.537888+00:00,bybit,455.65,451.66
2026-01-17T19:12:04.433951+00:00,bybit,455.65,451.66
2026-01-17T19:12:04.433951+00:00,binance,455.8145,454.8
2026-01-17T19:12:04.433951+00:00,bcv,344.51,
2026-01-17T19:15:48.888939+00:00,bcv,344.51,
2026-01-17T19:15:48.888939+00:00,bybit,456,451.25
2026-01-17T19:15:48.888939+00:00,binance,455,454.255
2026-01-17T19:20:12.08019+00:00,binance,454.9,454.2
2026-01-17T19:20:12.08019+00:00,bcv,344.51,
2026-01-17T19:20:12.08019+00:00,bybit,455.15,451.35
2026-01-17T19:25:12.091862+00:00,binance,454.75,453.2665
2026-01-17T19:25:12.091862+00:00,bcv,344.51,
2026-01-17T19:25:12.091862+00:00,bybit,455.575,451.15
2026-01-17T19:30:11.94902+00:00,binance,454,452.35
2026-01-17T19:30:11.94902+00:00,bcv,344.51,
2026-01-17T19:30:11.94902+00:00,bybit,455,451.05
2026-01-17T19:35:29.014757+00:00,bcv,344.51,
2026-01-17T19:35:29.014757+00:00,bybit,455,451
2026-01-17T19:35:29.014757+00:00,binance,453,453
2026-01-17T19:40:31.131182+00:00,binance,452,452.625
2026-01-17T19:40:31.131182+00:00,bcv,344.51,
2026-01-17T19:40:31.131182+00:00,bybit,455,451
2026-01-17T19:45:31.013231+00:00,binance,452.15,452.88
2026-01-17T19:45:31.013231+00:00,bybit,455,451
